AdminAccounts	AdminLevel	AdminSkill	AdminComment	AdminComment2	AdminIpBlocks	AdminIpComment	AdminSuid	OldAdminSuid
s	i{0}	s	c	c	s	c	i{0}	i{0}
admin-rat	50	admin	Community Lead			main admin account	1	
admin-talisa	50	admin	Operations/Development Lead	all account names must be lower case		main admin account	2	
admin-zephrina	50	admin	Public Relations Lead			main admin account	3	
events	50		Events Staff				4	
gm-zell	50		GM Staff				5	
qa-strafe	50		Lead QA				6	
qa-draig	50		QA Staff				7	
ops-shalon	50		Operations Staff				8	
